,QSO,z,DEC,RA,Date,File Paths
245,J163500+301321,2.934388,+30:13:22.2,16:34:59.94,2008-07-04,/global/homes/m/myers617/KODIAQ_DR3/KODIAQ_DR3/J163500+301321/Djorgovski_20080704/J163500+301321_cont.fits
247,J155810-003120,2.842061,-00:30:13.9,15:58:00.73,2008-02-29,/global/homes/m/myers617/KODIAQ_DR3/KODIAQ_DR3/J155810-003120/Tytler_20080228/J155810-003120_cont.fits
258,J125707+232514,2.6582,+23:25:14.0,12:57:07.57,2012-04-25,/global/homes/m/myers617/KODIAQ_DR3/KODIAQ_DR3/J125707+232514/Martin_20120425/J125707+232514_cont.fits
265,J223438+005730,2.823082,+00:57:45.1,22:34:37.39,2004-09-11,/global/homes/m/myers617/KODIAQ_DR3/KODIAQ_DR3/J223438+005730/Wolfe_20040911/J223438+005730_cont.fits
269,J155656+231920,2.82,+23:19:22.2,15:56:56.02,2012-04-25,/global/homes/m/myers617/KODIAQ_DR3/KODIAQ_DR3/J155656+231920/Martin_20120425/J155656+231920_cont.fits
277,J091613+070224,2.774,+07:15:01.3,09:13:34.54,2000-01-12,/global/homes/m/myers617/KODIAQ_DR3/KODIAQ_DR3/J091613+070224/Tytler_20000112/J091613+070224_cont.fits
281,J130548+290228,2.598795,+29:02:28.7,13:05:48.77,2008-05-09,/global/homes/m/myers617/KODIAQ_DR3/KODIAQ_DR3/J130548+290228/Sargent_20080508/J130548+290228_cont.fits
285,J023011-033450,2.872,-03:34:50.5,02:30:11.33,2013-11-09,/global/homes/m/myers617/KODIAQ_DR3/KODIAQ_DR3/J023011-033450/Kulkarni_20131108/J023011-033450_cont.fits
308,J223157-085212,2.557989,-08:52:15.1,22:31:56.98,2004-09-10,/global/homes/m/myers617/KODIAQ_DR3/KODIAQ_DR3/J223157-085212/Prochaska_20040910/J223157-085212_cont.fits
310,J021817-022500,2.599,-02:25:00.0,02:18:17.15,2011-10-25,/global/homes/m/myers617/KODIAQ_DR3/KODIAQ_DR3/J021817-022500/Martin_20111025/J021817-022500_cont.fits
